text,label
"Infected individuals with Ascaris lumbricoides may experience coughing and respiratory issues as part of the larval migration phase.","Ascaris lumbricoides"
"The adult Ascaris lumbricoides worms live in the human small intestine, where they can grow up to 30 cm in length.","Ascaris lumbricoides"
"The life cycle of Ascaris lumbricoides involves eggs being passed in feces and then ingested by a new host.","Ascaris lumbricoides"
"Infections of Ascaris lumbricoides may lead to complications like malnutrition and intestinal blockages.","Ascaris lumbricoides"
"Ascaris lumbricoides is a parasitic nematode commonly found in the intestines of humans.","Ascaris lumbricoides"
"Capillaria philippinensis eggs hatch into larvae that migrate to the intestine, where they mature and cause severe abdominal pain.","Capillaria philippinensis"
"Capillaria philippinensis can cause severe gastrointestinal symptoms, including diarrhea, weight loss, and abdominal discomfort.","Capillaria philippinensis"
"Capillaria philippinensis is often found in Southeast Asia, especially in regions where people consume raw freshwater fish.","Capillaria philippinensis"
"Capillaria philippinensis is a parasitic roundworm that affects the human gastrointestinal system, causing capillariasis.","Capillaria philippinensis"
"Capillaria philippinensis is often diagnosed through stool examination, where eggs or larvae can be detected.","Capillaria philippinensis"
"Enterobius vermicularis is typically transmitted through contaminated food or surfaces, with an emphasis on hygiene to prevent infection.","Enterobius vermicularis"
"Enterobius vermicularis infections can lead to secondary bacterial infections due to constant scratching of the anal region.","Enterobius vermicularis"
"Enterobius vermicularis is a pinworm that primarily infects children, leading to itching around the anus.","Enterobius vermicularis"
"Enterobius vermicularis eggs are highly infectious and can survive on surfaces for up to two weeks.","Enterobius vermicularis"
"Enterobius vermicularis is the most common helminth infection in children worldwide.","Enterobius vermicularis"
"Fasciolopsis buski is associated with freshwater plants such as water chestnuts, where it can be contracted by eating contaminated plants.","Fasciolopsis buski"
"Fasciolopsis buski is known for its potential to cause liver and bile duct damage in humans and other hosts.","Fasciolopsis buski"
"Fasciolopsis buski causes inflammation and infection in the intestines, liver, and bile ducts of the host.","Fasciolopsis buski"
"Fasciolopsis buski is a trematode that causes fasciolopsiasis, an infection typically in humans and pigs.","Fasciolopsis buski"
"Fasciolopsis buski infection is primarily treated with praziquantel, an anti-parasitic medication.","Fasciolopsis buski"
"Ascaris lumbricoides eggs are large, spherical, and have a thick, mamillated outer shell, which can be observed in stool samples under the microscope.","Ascaris lumbricoides"
"Under the microscope, Capillaria philippinensis eggs have a characteristic barrel shape with a distinct bipolar plug at each end.","Capillaria philippinensis"
"The adult Enterobius vermicularis female is long and thin with a tapered body, while its eggs are oval with a flattened side, often seen under a light microscope.","Enterobius vermicularis"
"Fasciolopsis buski eggs are large and oval, with a prominent operculum visible under the microscope when stained.","Fasciolopsis buski"
"In a microscopic examination of an Ascaris lumbricoides egg, the inner embryo can be observed when the egg is stained and prepared on a glass slide.","Ascaris lumbricoides"
"Capillaria philippinensis larvae, when viewed under a microscope, appear as long, slender, and thread-like, often curled in the intestines of infected hosts.","Capillaria philippinensis"
"The eggs of Enterobius vermicularis are clear, slightly oval, and have a distinctive flattened side that can be easily distinguished under a microscope.","Enterobius vermicularis"
"Under the microscope, Fasciolopsis buski adults appear flat, leaf-shaped, and large, with a prominent ventral sucker visible near the midline.","Fasciolopsis buski"
"Ascaris lumbricoides adults are cylindrical with a smooth outer surface, and they have a characteristic pinkish hue when observed in the intestines.","Ascaris lumbricoides"
"The body of Capillaria philippinensis appears threadlike and translucent, with a sharp, curved posterior end visible under the microscope.","Capillaria philippinensis"
"Enterobius vermicularis adult worms are thin and white, with a pin-like shape that is very distinct when observed in the rectum under the microscope.","Enterobius vermicularis"
"Fasciolopsis buski is a large fluke that has a flat, leaf-like body, measuring up to 7 cm in length, with both an oral and ventral sucker visible under the microscope.","Fasciolopsis buski"
"Ascaris lumbricoides eggs have a smooth, rough outer membrane with a prominent thickening around the periphery, visible under a compound microscope.","Ascaris lumbricoides"
"Capillaria philippinensis adult worms appear thread-like and slender, with a cylindrical body and sharp anterior end when viewed through a microscope.","Capillaria philippinensis"
"Enterobius vermicularis eggs are typically transparent, with a flattened side, which makes them easy to differentiate from other parasitic eggs under microscopic examination.","Enterobius vermicularis"
"Fasciolopsis buski infection is primarily treated with praziquantel, an anti-parasitic medication.","Fasciolopsis buski"
"Infected individuals with Ascaris lumbricoides may experience coughing and respiratory issues as part of the larval migration phase.","Ascaris lumbricoides"
"Capillaria philippinensis is often found in Southeast Asia, especially in regions where people consume raw freshwater fish.","Capillaria philippinensis"
"Enterobius vermicularis is the most common helminth infection in children worldwide.","Enterobius vermicularis"
"Fasciolopsis buski causes inflammation and infection in the intestines, liver, and bile ducts of the host.","Fasciolopsis buski"
"Ascaris lumbricoides larvae, when observed under a microscope, appear translucent and long, measuring up to 2-3 mm in length, with visible muscular structures.","Ascaris lumbricoides"
"Capillaria philippinensis eggs are oval and slightly asymmetrical, with a prominent, clear plug at each end, distinguishable under microscopic analysis.","Capillaria philippinensis"
"Under a microscope, the thin, white body of Enterobius vermicularis adult worms is clearly visible in the intestines of infected hosts.","Enterobius vermicularis"
"Fasciolopsis buski is often identified in tissue samples due to its large, oval shape and the presence of a prominent operculum on the egg.","Fasciolopsis buski"
"When observed under the microscope, Ascaris lumbricoides shows large eggs with a thick outer shell and a distinct, rough surface.","Ascaris lumbricoides"
"Capillaria philippinensis eggs are noticeable under the microscope due to their distinctive barrel shape and the presence of plugs at both ends.","Capillaria philippinensis"
"The microscopic examination of Enterobius vermicularis shows eggs with a flattened side and clear appearance, making them easily identifiable.","Enterobius vermicularis"
"Fasciolopsis buski is often identified in tissue samples due to its large, oval shape and the presence of a prominent operculum on the egg.","Fasciolopsis buski"
"When observed under the microscope, Ascaris lumbricoides larvae appear curved and worm-like, often found migrating through the host's tissues.","Ascaris lumbricoides"
"Capillaria philippinensis adults are thread-like with sharp anterior and posterior ends, clearly visible when observed under a microscope.","Capillaria philippinensis"
"Enterobius vermicularis larvae look tiny, translucent, and often curved when viewed under a microscope after fecal analysis.","Enterobius vermicularis"
"Fasciolopsis buski eggs appear as large, oval structures with a distinct operculum visible under a microscope.","Fasciolopsis buski"
"Infection with Ascaris lumbricoides can lead to abdominal discomfort, nausea, and malnutrition, particularly in children.","Ascaris lumbricoides"
"Capillaria philippinensis infections often cause severe abdominal pain, diarrhea, and weight loss in infected individuals.","Capillaria philippinensis"
"The most common symptom of Enterobius vermicularis infection is itching around the anus, especially at night.","Enterobius vermicularis"
"Fasciolopsis buski infection may lead to symptoms such as abdominal pain, diarrhea, and jaundice due to liver involvement.","Fasciolopsis buski"
"Ascaris lumbricoides infections can cause coughing and wheezing, particularly during the larval migration phase through the lungs.","Ascaris lumbricoides"
"Infected individuals with Capillaria philippinensis often experience bloating, diarrhea, and malabsorption, leading to weight loss.","Capillaria philippinensis"
"Enterobius vermicularis infections can cause irritability and sleep disturbances due to the itching caused by the worms.","Enterobius vermicularis"
"Fasciolopsis buski can cause severe abdominal pain, nausea, and vomiting, especially after consuming contaminated water plants.","Fasciolopsis buski"
"Ascaris lumbricoides infection can result in intestinal blockages, leading to severe pain and vomiting in some cases.","Ascaris lumbricoides"
"Capillaria philippinensis infection can cause gastrointestinal bleeding, nausea, and extreme weight loss if left untreated.","Capillaria philippinensis"
"Enterobius vermicularis infection is often associated with abdominal discomfort and visible irritation in the anal area due to constant scratching.","Enterobius vermicularis"
"Fasciolopsis buski infection may lead to liver inflammation, jaundice, and fever as the parasite affects the bile ducts.","Fasciolopsis buski"
"In severe cases, Ascaris lumbricoides infection can lead to malnutrition, especially in children who are frequently infected.","Ascaris lumbricoides"
